Date,ticker,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2025-08-11,GOOGL,200.42822265625,200.90685295750995,198.5037201599992,200.36839577051532,25832400,-0.418792724609375,-0.0020851329247548,191.4820834395092,180.76632385253907,175.22788864135742,70.76714237059396,4.137417664525323,1498742900.0,5.327810018872611,0.317285770644597,5.010524248228014,180.81820557287296,191.5166473388672,202.2150891048614,11.172336102004245,0.9164894062287146,89.7136381642241,88.01671655510262,0.0116417150047383,1
2025-08-12,GOOGL,202.7615509033203,203.91825467935456,200.0193738844048,200.79715378526663,30397900,2.3333282470703125,0.0116417150047383,192.55631843606267,181.40066680908205,175.4212271118164,73.05390787648201,4.120379316698498,1529140800.0,5.578565480073877,0.4544329854766902,5.124132494597187,181.85305808180053,192.58061141967767,203.3081647575549,11.1408446144138,0.9745229020533238,91.4350087686491,90.04564593753156,-0.0067865571668537,0
2025-08-13,GOOGL,201.385498046875,203.94817934449617,196.94814463612107,203.5493232968563,28342900,-1.3760528564453125,-0.0067865571668537,193.39719268471143,182.0614694213868,175.61941047668458,69.59626408884722,4.326068987532541,1500797900.0,5.601682317480112,0.3820398583063404,5.219642459173771,183.20887784640053,193.5274101257324,203.8459424050643,10.663639091359784,0.880775468274805,88.92661630996372,90.0250877476123,0.0048524776481284,1
2025-08-14,GOOGL,202.3627166748047,203.85844975532365,200.65757426824428,200.9268104830451,25230400,0.9772186279296876,0.0048524776481284,194.25105211233932,182.7985855102539,175.8227781677246,70.65835704617821,4.245698023214458,1526028300.0,5.633911726593567,0.3314154139358365,5.3024963126577305,184.6725172883108,194.4926574707032,204.3127976530955,10.0982117372442,0.9007101252084302,89.3834499631223,89.9150250139117,0.0047303420747466,1
2025-08-15,GOOGL,203.3199615478516,205.8527445549316,200.70741950553764,203.270115954676,34931400,0.957244873046875,0.0047303420747466,195.11475777286435,183.51759765625,176.0182627105713,71.70120157848886,4.309957096512992,1560959700.0,5.671319980283414,0.2950589341005463,5.376261046182868,186.0163815060141,195.43197708129884,204.8475726565836,9.635675508074968,0.9188786786498216,87.15450379192424,88.48819002167009,-0.001961683861576,0
2025-08-18,GOOGL,202.92111206054688,204.68608127587703,201.91399064284568,203.61911775674488,18526600,-0.3988494873046875,-0.001961683861576,195.858220085977,184.22544616699216,176.20454902648925,70.57566199406817,4.200109491978592,1542433100.0,5.604180960907456,0.1823359317796704,5.421845029127786,186.5508484671224,196.1000709533692,205.64929343961592,9.739132107216316,0.8571516485767143,87.01800844713385,87.85198740072678,-0.0094839035395956,0
2025-08-19,GOOGL,200.9966278076172,202.8613035972392,199.3912069528748,202.45246621827235,24240200,-1.9244842529296875,-0.0094839035395956,196.34759224994275,184.7858480834961,176.36650672912597,65.25304598382392,4.15223775024241,1518192900.0,5.334193743659455,-0.0701210283746656,5.4043147720341205,187.159453630908,196.6101173400879,206.06078104926783,9.613608736963016,0.7320742014800731,81.47155465477294,85.21468896461035,-0.0111624849165098,0
2025-08-20,GOOGL,198.7530059814453,200.70742189093835,196.04074228978,200.158983421046,28955500,-2.243621826171875,-0.0111624849165098,196.57667927199063,185.2491265869141,176.49349769592283,59.608864113898456,4.209641162213469,1489237400.0,4.882898385110622,-0.4171331095388,5.300031494649422,188.12850045119168,197.06332473754884,205.998149023906,9.067972742524956,0.5945559302423267,73.27250207042113,80.58735505744264,0.0021573874031637,1
2025-08-21,GOOGL,199.18179321289065,201.9040232227768,198.8626961782015,199.18179321289065,19774600,0.4287872314453125,0.0021573874031637,196.82478536160016,185.67092315673827,176.63927642822264,60.31534384018498,4.1340251678647535,1509012000.0,4.507879084082418,-0.6337219284536033,5.141601012536022,188.82506102625504,197.4412475585937,206.05743409093245,8.727848551282797,0.6010044088393501,64.87147138146415,73.20517603555274,0.0317395736249479,1
2025-08-22,GOOGL,205.5037384033203,207.9467659198768,200.7273710651735,202.15329588435108,42827000,6.321945190429688,0.0317395736249479,197.6513523179545,186.24408813476563,176.81577056884765,68.9410393092852,4.464807134944856,1551839000.0,4.667003418022404,-0.3796780756108955,5.046681493633299,189.08749618967616,198.08491134643555,207.0823265031949,9.084402335949342,0.9122754662104986,68.09761375036862,68.74719573408463,0.0116453999151908,1
