Date,Close,ticker,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-06-16,424.4658508300781,SPY,428.4742491472454,423.99257880127806,427.9043831698667,114165800,-1.450775146484375,-0.003406242109375235,411.95276705490244,401.6172729492188,380.87552108764646,73.76766437195772,4.377725318543145,-1349949500.0,6.6723181583748215,1.4629325933453217,5.2093855650295,392.6429092400242,409.8014617919922,426.9600143439602,8.374080696021222,0.92732010738295,91.35444510020132,94.4669019717896,-0.005188118080103665,0
2023-06-20,422.263671875,SPY,423.41307214231983,420.1870344889163,422.52447850076925,76160400,-2.202178955078125,-0.005188118080103665,412.9347579901498,402.1872259521484,381.109020690918,69.03358235880026,4.370660391587336,-1426109900.0,6.6595435759206225,1.1601264087128982,5.499417167207724,393.1087053798453,410.77261810302736,428.43653082620943,8.600336022763685,0.825269207113207,86.29737027443254,90.99142190080613,-0.005123824000111021,0
2023-06-21,420.1000671386719,SPY,422.0801103736596,419.51086470582334,421.2784425280354,76982300,-2.163604736328125,-0.005123824000111021,413.61716838524717,402.70582458496096,381.3258096313477,64.64414421224478,4.255099447129431,-1503092200.0,6.401047515818618,0.7213042788887147,5.6797432369299035,393.8954825001661,411.6274154663086,429.3593484324511,8.615525739972895,0.7389094208888851,77.62035700115756,85.09072412526379,0.0036096601158854824,1
2023-06-22,421.6164855957031,SPY,421.722718296799,418.80576994281824,419.1438339963334,70637200,1.51641845703125,0.0036096601158854824,414.37900811957627,403.25263427734376,381.57004348754884,66.26325840292131,4.159517226190238,-1432455000.0,6.246543556290305,0.4534402554883208,5.7931033008019845,395.6243210861882,412.7841796875,429.9440382888118,8.314203618124477,0.7573536913505785,71.25362457629704,78.3904506172957,-0.0075598987197667,0
2023-06-23,418.4291076660156,SPY,420.2159925909701,417.71436548656794,418.1586622892244,92074500,-3.1873779296875,-0.0075598987197667,414.7647318859038,403.76783874511716,381.8053730773926,60.03950455383493,4.141131717829163,-1524529500.0,5.800043997524767,0.00555255737822602,5.794491440146541,398.5466597569825,413.92591705322263,429.3051743494628,7.430922618098682,0.646404684116115,60.761366918699785,69.87844949871813,-0.004085818153705567,0
2023-06-26,416.719482421875,SPY,419.78130707914215,416.47801229853,417.8592143297431,72823600,-1.709625244140625,-0.004085818153705567,414.95089860361537,404.1445361328125,381.9987969970703,56.94975333967941,4.081286222313661,-1597353100.0,5.247744677050264,-0.43739741047702285,5.685142087527287,401.00822994875074,414.8108840942383,428.61353823972587,6.654914166790197,0.569138815894357,50.003455576044296,60.67281569034703,0.010963331991706626,1
2023-06-27,421.2881164550781,SPY,421.9062646558956,417.1444807996532,417.59844581995696,72813700,4.568634033203125,0.010963331991706626,415.55444316089756,404.6320440673828,382.2027088928223,62.50306796656209,4.160250223149871,-1524539400.0,5.119677614631485,-0.452371578316642,5.572049192948127,402.497383364771,415.66590118408203,428.83441900339307,6.336106850140309,0.713471832902537,48.345825788478386,53.036882761074146,0.000504608226331138,1
2023-06-28,421.5007019042969,SPY,422.51486487061453,419.5882474656043,420.2063957992277,75636000,0.21258544921875,0.000504608226331138,416.1207535174118,405.09531982421873,382.37812774658204,62.74389538354898,4.072133593282754,-1448903400.0,4.97795465153871,-0.4752756331275334,5.453230284666243,404.21015752073146,416.5238510131836,428.8375445056358,5.912599464592203,0.7020860310581827,53.81951791654104,50.72293309368789,0.003941213757721274,1
2023-06-29,423.16192626953125,SPY,423.3261389375307,420.67963558379535,421.08528892018165,67882300,1.661224365234375,0.003941213757721274,416.79134139856603,405.5866229248047,382.5410873413086,64.65430359182484,3.97030286188651,-1381021100.0,4.9427086366381445,-0.40841731842247864,5.351125955060623,406.8815832728233,417.57697143554685,428.2723595982704,5.12259482411346,0.7610917317358127,63.53826384484635,55.23453584995525,0.011800735170562682,1
2023-06-30,428.1555480957031,SPY,429.14073568910436,426.05957423925753,426.3783313417032,104964000,4.993621826171875,0.011800735170562682,417.8736467982934,406.1791455078125,382.81392974853514,69.6862940127247,4.113767616006982,-1276057100.0,5.257118672218155,-0.07520582627397498,5.33232449849213,408.4588642340664,418.68875579833986,428.9186473626133,4.886633052644301,0.9627024752845287,74.18166583690571,63.846482532764355,0.0011504083343734095,1
